VALUE,DATE,HOUR
214955,27.01.2009 0:00:00.000000,14
213532,27.01.2009 0:00:00.000000,15
212876,27.01.2009 0:00:00.000000,16
212533,27.01.2009 0:00:00.000000,17
215245,27.01.2009 0:00:00.000000,18
216627,27.01.2009 0:00:00.000000,19
212594,27.01.2009 0:00:00.000000,20
209640,27.01.2009 0:00:00.000000,21
210821,27.01.2009 0:00:00.000000,22
211109,27.01.2009 0:00:00.000000,23
211230,27.01.2009 0:00:00.000000,24
209081,28.01.2009 0:00:00.000000,1
208705,28.01.2009 0:00:00.000000,2
207786,28.01.2009 0:00:00.000000,3
206941,28.01.2009 0:00:00.000000,4
207373,28.01.2009 0:00:00.000000,5
206859,28.01.2009 0:00:00.000000,6
208806,28.01.2009 0:00:00.000000,7
213269,28.01.2009 0:00:00.000000,8
220570,28.01.2009 0:00:00.000000,9
222984,28.01.2009 0:00:00.000000,10
218839,28.01.2009 0:00:00.000000,11
217620,28.01.2009 0:00:00.000000,12
214550,28.01.2009 0:00:00.000000,13
